mois,consommation_totale,climatisation,chauffage,dju,conso_corr,conso_cvs
2012-01-01,51086,0.0,409.0,409.0,28795.41636879178,28673.07251169739
2012-02-01,54476,0.0,517.9,517.9,26250.344101215804,26247.029178481185
2012-03-01,43156,0.0,215.6,215.6,31405.755914698064,29206.547029755544
2012-04-01,40176,2.2,191.2,193.39999999999998,29635.66045409372,28748.432058325314
2012-05-01,35257,33.5,68.4,101.9,29703.429163764995,29556.530260690422
2012-06-01,33219,93.6,9.6,103.19999999999999,27594.578897944528,29382.223004963696
2012-07-01,34141,103.9,5.6,109.5,28173.227609737653,29248.123477722576
2012-08-01,32247,159.8,2.6,162.4,23396.16679288945,26793.36669923797
2012-09-01,33269,37.5,40.5,78.0,29017.984050772026,26625.612211908458
2012-10-01,38628,9.8,122.0,131.8,31444.873049894268,29800.95837584626
2012-11-01,44260,0.0,266.8,266.8,29719.345445461237,29108.054586579972
2012-12-01,49602,0.0,380.7,380.7,28853.772155498853,28648.110145270704
2013-01-01,53619,0.0,453.1,453.1,28924.957351343655,29932.602679357424
2013-02-01,49639,0.0,452.7,452.7,24966.757433134568,28479.851149753256
2013-03-01,49480,0.0,327.6,327.6,31625.73301324251,28513.29723552762
2013-04-01,40292,0.1,190.4,190.5,29909.711047077835,28262.12564872964
2013-05-01,36821,0.0,150.9,150.9,28596.91914437819,28202.60863552385
2013-06-01,32973,59.4,30.8,90.2,28057.08155614919,28103.362255843997
2013-07-01,34751,182.3,0.0,182.3,24815.612723791543,26238.15067799044
2013-08-01,31591,117.2,1.2,118.4,25138.175789889843,27897.988752945646
2013-09-01,33195,41.3,27.1,68.4,29467.18601375393,28669.30488407956
2013-10-01,37063,18.7,88.1,106.8,31242.378161826313,29040.579717279954
2013-11-01,45310,0.0,337.5,337.5,26916.180988917422,26989.533808879052
2013-12-01,50108,0.0,412.8,412.8,27610.315591778108,27554.826702283972
2014-01-01,49359,0.0,334.1,334.1,31150.481684140177,30999.08895586882
2014-02-01,44580,0.0,290.1,290.1,28769.490681140574,30248.52675409622
2014-03-01,43104,0.0,244.4,244.4,29784.15002575235,29070.080433677747
2014-04-01,36331,0.0,134.1,134.1,29022.522579596523,28537.51542056203
